row_id,ticket_id,category,datetime,latitude,longitude
row-4tui_dt7c_sqfg,1621948,Assault/Battery/Intimidation,2026-01-01T00:00:00.000,40.1257051708135,-88.2491464700882
row-nv8g~4hid-p3wv,1619642,Burglary/Breaking & Entering,2026-01-01T00:00:00.000,40.1185770960609,-88.2311373805853
row-bjt5.nd3i.rpa8,1626475,Burglary/Breaking & Entering,2026-01-01T00:00:00.000,40.1109567052748,-88.2021266070771
row-f55s~5tbj_zhj5,1621099,Disorderly Conduct,2026-01-01T00:00:00.000,40.153530667049,-88.1861714847596
row-d3wm.58x4.u2ci,1668168,"Family Offenses, Nonviolent",2026-01-01T00:00:00.000,40.1275054378747,-88.2640255546775
row-4uyc_qvkk.ad8v,1634473,Fraud,2026-01-01T00:00:00.000,40.0899468000759,-88.2774804024691
row-ayqw.t96a.rkea,1636171,Fraud,2026-01-01T00:00:00.000,40.1185396974321,-88.2604996308673
row-kmvu.i2pi-jb8w,1618791,Assault/Battery/Intimidation,2026-01-01T00:07:00.000,40.1032822549304,-88.2937417888506
row-ajwu~6six~3s53,1618789,Assault/Battery/Intimidation,2026-01-01T00:24:00.000,40.1102384885759,-88.2353867408422
row-tvyq_6eeu.6hby,1618827,Motor Vehicle Theft,2026-01-01T00:30:00.000,40.1168626839246,-88.2433128074097
row-vzje_2e2t_ubhk,1618799,Interference w/Public Officers,2026-01-01T00:49:00.000,40.10062648943,-88.2191237464069
row-5ds3~c96u_ffee,1619108,Assault/Battery/Intimidation,2026-01-01T01:00:00.000,40.1097414339867,-88.2317267739497
row-ag8v.t6yj_uq3c,1618916,Theft,2026-01-01T01:00:00.000,40.3226877878893,-88.140969808263
row-4q7v~c3um_tecc,1618924,Assault/Battery/Intimidation,2026-01-01T01:05:00.000,40.0247565049453,-88.2561812424969
row-hyiz_pe4y-nk6n,1624266,Accident,2026-01-01T01:36:00.000,40.0840394863484,-88.1047742809663
row-46jc.4vhv~je4a,1618867,Burglary/Breaking & Entering,2026-01-01T01:36:00.000,40.1042892547027,-88.2348320183674
row-4ehk_3vyi-by65,1618814,Driving under the Influence,2026-01-01T01:50:00.000,40.1122963877769,-88.2078157658623
row-v235-sm9e.isga,1618801,"Family Offenses, Nonviolent",2026-01-01T01:54:00.000,40.1278777467777,-88.1889450133756
row-a273-4d9w-mp4n,1618914,Burglary/Breaking & Entering,2026-01-01T02:28:00.000,40.1414444888377,-88.2516380588428
row-q2nr~qnab.gfva,1618805,Assault/Battery/Intimidation,2026-01-01T02:35:00.000,40.1098146265742,-88.2914689746156
row-ysgg~akhb~gkix,1618860,Assault/Battery/Intimidation,2026-01-01T02:52:00.000,40.1321426070587,-88.2489272987466
row-j934~fijv-gcfa,1618824,Destruction/Damage/Vandalism of Property,2026-01-01T03:28:00.000,40.1099279366289,-88.2356443845156
row-dbva_h4ai.q55s,1618950,Destruction/Damage/Vandalism of Property,2026-01-01T03:30:00.000,40.0976305167825,-88.2746505449753
row-k7w8_d8xn-gwre,1628478,Burglary/Breaking & Entering,2026-01-01T03:55:00.000,40.1117731199546,-88.2796932787652
